Time (UTC), Frequency (MHz),Level (dB/Hz)
1551105545.0, 140.71875, -48.3350442602
1551105545.0, 140.720703125, -48.5545526496
1551105545.0, 140.72265625, -48.411365066
1551105545.0, 140.724609375, -48.0538209726
1551105545.0, 140.7265625, -48.2181042836
1551105545.0, 140.728515625, -48.3937928255
1551105545.0, 140.73046875, -48.884191856
1551105545.0, 140.732421875, -49.0138745007
1551105545.0, 140.734375, -48.4919256041
1551105545.0, 140.736328125, -48.5320251972
1551105545.0, 140.73828125, -48.5081109505
1551105545.0, 140.740234375, -48.3296826711
1551105545.0, 140.7421875, -48.4921726089
1551105545.0, 140.744140625, -48.5092066742
1551105545.0, 140.74609375, -48.4194954044
1551105545.0, 140.748046875, -48.1341819069
1551105545.0, 140.75, -48.3484082623
1551105545.0, 140.751953125, -48.3657734402
1551105545.0, 140.75390625, -48.1610689119
1551105545.0, 140.755859375, -47.9917693764
1551105545.0, 140.7578125, -48.266655896
1551105545.0, 140.759765625, -48.3725313485
1551105545.0, 140.76171875, -48.5733334468
1551105545.0, 140.763671875, -48.5718669262
1551105545.0, 140.765625, -48.523940325
1551105545.0, 140.767578125, -48.5867227248
1551105545.0, 140.76953125, -48.6205178202
1551105545.0, 140.771484375, -48.4196941004
1551105545.0, 140.7734375, -48.4228768853
1551105545.0, 140.775390625, -48.0544412014
1551105545.0, 140.77734375, -48.3131834692
1551105545.0, 140.779296875, -48.3406534067
1551105545.0, 140.78125, -48.7422975032
1551105545.0, 140.783203125, -48.326132536
1551105545.0, 140.78515625, -48.5133891127
1551105545.0, 140.787109375, -48.3868662059
1551105545.0, 140.7890625, -48.1591518301
1551105545.0, 140.791015625, -48.1081232663
1551105545.0, 140.79296875, -47.9811599096
1551105545.0, 140.794921875, -48.1343623599
1551105545.0, 140.796875, -47.8300834427
1551105545.0, 140.798828125, -47.7451880933
1551105545.0, 140.80078125, -47.9640434384
1551105545.0, 140.802734375, -47.9027424352
1551105545.0, 140.8046875, -47.7108314431
1551105545.0, 140.806640625, -47.58268016
1551105545.0, 140.80859375, -47.0928833906
1551105545.0, 140.810546875, -46.6373841191
1551105545.0, 140.8125, -46.2590926325
1551105545.0, 140.814453125, -46.6251706992
1551105545.0, 140.81640625, -46.8163191561
1551105545.0, 140.818359375, -47.0342416276
1551105545.0, 140.8203125, -46.8909109592
1551105545.0, 140.822265625, -47.2631730868
1551105545.0, 140.82421875, -47.6477367999
1551105545.0, 140.826171875, -47.9691185398
1551105545.0, 140.828125, -47.5499059756
1551105545.0, 140.830078125, -47.8922932576
1551105545.0, 140.83203125, -48.3305239705
1551105545.0, 140.833984375, -48.2751614562
1551105545.0, 140.8359375, -48.3078659601
1551105545.0, 140.837890625, -48.4153269225
1551105545.0, 140.83984375, -48.2270963918
1551105545.0, 140.841796875, -48.2606138022
1551105545.0, 140.84375, -48.8159795132
1551105545.0, 140.845703125, -48.5926850192
1551105545.0, 140.84765625, -48.4279984206
1551105545.0, 140.849609375, -48.4088100572
1551105545.0, 140.8515625, -48.4649410192
1551105545.0, 140.853515625, -48.5073831953
1551105545.0, 140.85546875, -48.54738839
1551105545.0, 140.857421875, -49.0024837095
1551105545.0, 140.859375, -48.8747479833
1551105545.0, 140.861328125, -48.5326568374
1551105545.0, 140.86328125, -48.6951060465
1551105545.0, 140.865234375, -48.6568153936
1551105545.0, 140.8671875, -48.5009263293
1551105545.0, 140.869140625, -48.4948021627
1551105545.0, 140.87109375, -48.1386113566
1551105545.0, 140.873046875, -48.0722450627
1551105545.0, 140.875, -47.7496004785
1551105545.0, 140.876953125, -48.2802844055
1551105545.0, 140.87890625, -48.71174977
1551105545.0, 140.880859375, -48.6540413781
1551105545.0, 140.8828125, -48.4708537273
1551105545.0, 140.884765625, -48.6096076584
1551105545.0, 140.88671875, -48.4715204097
1551105545.0, 140.888671875, -48.3440952078
1551105545.0, 140.890625, -48.4916246835
1551105545.0, 140.892578125, -48.4427651203
1551105545.0, 140.89453125, -48.5587988864
1551105545.0, 140.896484375, -48.3469896174
1551105545.0, 140.8984375, -48.167384821
1551105545.0, 140.900390625, -48.5096703205
1551105545.0, 140.90234375, -48.5926908202
1551105545.0, 140.904296875, -48.4924483508
1551105545.0, 140.90625, -48.5587462071
1551105545.0, 140.908203125, -48.5911010781
1551105545.0, 140.91015625, -48.3681477614
1551105545.0, 140.912109375, -48.5635668797
